Timestamp,Fase,T,H,r1,r2,r3
16:47:39,Fase1_Baseline_ArLimpo,25.3,48.0,622.0,641.0,640.0
16:47:41,Fase1_Baseline_ArLimpo,25.3,48.0,,668.0,633.0
16:47:43,Fase1_Baseline_ArLimpo,25.3,48.0,648.0,662.0,655.0
16:47:45,Fase1_Baseline_ArLimpo,25.3,48.0,592.0,635.0,635.0
16:47:47,Fase1_Baseline_ArLimpo,25.3,48.0,640.0,629.0,636.0
16:47:49,Fase1_Baseline_ArLimpo,25.3,48.0,630.0,611.0,607.0
16:47:51,Fase1_Baseline_ArLimpo,25.3,48.0,606.0,640.0,645.0
16:47:53,Fase1_Baseline_ArLimpo,25.3,48.0,653.0,633.0,650.0
16:47:55,Fase1_Baseline_ArLimpo,25.3,48.0,569.0,643.0,606.0
16:47:57,Fase1_Baseline_ArLimpo,25.3,48.0,656.0,654.0,661.0
16:47:59,Fase1_Baseline_ArLimpo,25.3,48.0,624.0,626.0,619.0
16:48:01,Fase1_Baseline_ArLimpo,25.3,48.0,624.0,594.0,607.0
16:48:03,Fase1_Baseline_ArLimpo,25.3,48.0,642.0,656.0,640.0
16:48:05,Fase1_Baseline_ArLimpo,25.3,48.0,531.0,,614.0
16:48:07,Fase1_Baseline_ArLimpo,25.3,48.0,583.0,661.0,654.0
16:48:09,Fase1_Baseline_ArLimpo,25.3,48.0,629.0,633.0,629.0
16:48:11,Fase1_Baseline_ArLimpo,25.3,48.0,658.0,681.0,652.0
16:48:13,Fase1_Baseline_ArLimpo,25.3,48.0,661.0,667.0,627.0
16:48:15,Fase1_Baseline_ArLimpo,25.3,48.0,592.0,640.0,622.0
16:48:17,Fase1_Baseline_ArLimpo,25.3,48.0,650.0,645.0,638.0
16:48:19,Fase1_Baseline_ArLimpo,25.3,48.0,713.0,666.0,641.0
16:48:21,Fase1_Baseline_ArLimpo,25.3,48.0,631.0,674.0,645.0
16:48:23,Fase1_Baseline_ArLimpo,25.3,48.0,659.0,702.0,667.0
16:48:25,Fase1_Baseline_ArLimpo,25.3,48.0,604.0,681.0,666.0
16:48:27,Fase1_Baseline_ArLimpo,25.3,48.0,646.0,652.0,641.0
16:48:29,Fase1_Baseline_ArLimpo,25.3,48.0,615.0,652.0,645.0
16:48:31,Fase1_Baseline_ArLimpo,25.3,48.0,613.0,651.0,638.0
16:48:33,Fase1_Baseline_ArLimpo,25.3,48.0,643.0,650.0,613.0
16:48:35,Fase1_Baseline_ArLimpo,25.3,48.0,592.0,683.0,643.0
16:48:37,Fase1_Baseline_ArLimpo,25.3,48.0,642.0,647.0,652.0
16:48:39,Fase1_Baseline_ArLimpo,25.3,48.0,699.0,679.0,646.0
16:48:41,Fase1_Baseline_ArLimpo,25.3,48.0,673.0,687.0,656.0
16:48:43,Fase1_Baseline_ArLimpo,25.3,48.0,688.0,665.0,640.0
16:48:45,Fase1_Baseline_ArLimpo,25.3,48.0,,693.0,656.0
16:48:47,Fase1_Baseline_ArLimpo,25.4,48.0,641.0,658.0,637.0
16:48:49,Fase1_Baseline_ArLimpo,25.4,48.0,606.0,689.0,656.0
16:48:51,Fase1_Baseline_ArLimpo,25.4,48.0,589.0,624.0,621.0
16:48:53,Fase1_Baseline_ArLimpo,25.4,48.0,670.0,697.0,666.0
16:48:55,Fase1_Baseline_ArLimpo,25.5,48.0,713.0,681.0,704.0
16:48:57,Fase1_Baseline_ArLimpo,25.6,48.0,759.0,683.0,686.0
16:49:00,Fase1_Baseline_ArLimpo,25.5,48.0,618.0,673.0,667.0
16:49:02,Fase1_Baseline_ArLimpo,25.4,48.0,662.0,663.0,646.0
16:49:04,Fase1_Baseline_ArLimpo,25.3,48.0,592.0,641.0,615.0
16:49:06,Fase1_Baseline_ArLimpo,25.3,48.0,662.0,704.0,668.0
16:49:08,Fase1_Baseline_ArLimpo,25.3,48.0,636.0,695.0,666.0
16:49:10,Fase1_Baseline_ArLimpo,25.3,48.0,625.0,677.0,672.0
16:49:12,Fase1_Baseline_ArLimpo,25.3,48.0,637.0,659.0,651.0
16:49:14,Fase1_Baseline_ArLimpo,25.3,48.0,627.0,704.0,671.0
16:49:16,Fase1_Baseline_ArLimpo,25.3,48.0,700.0,677.0,658.0
16:49:18,Fase1_Baseline_ArLimpo,25.3,48.0,611.0,675.0,661.0
16:49:20,Fase1_Baseline_ArLimpo,25.3,48.0,647.0,657.0,650.0
16:49:22,Fase1_Baseline_ArLimpo,25.3,48.0,629.0,685.0,663.0
16:49:24,Fase1_Baseline_ArLimpo,25.3,48.0,656.0,631.0,637.0
16:49:26,Fase1_Baseline_ArLimpo,25.3,48.0,660.0,686.0,688.0
16:49:28,Fase1_Baseline_ArLimpo,25.3,48.0,576.0,627.0,603.0
16:49:30,Fase1_Baseline_ArLimpo,25.3,48.0,710.0,720.0,695.0
16:49:32,Fase1_Baseline_ArLimpo,25.3,48.0,624.0,624.0,611.0
16:49:34,Fase1_Baseline_ArLimpo,25.3,48.0,606.0,638.0,618.0
16:49:36,Fase1_Baseline_ArLimpo,25.3,48.0,682.0,706.0,681.0
16:49:38,Fase1_Baseline_ArLimpo,25.3,48.0,576.0,594.0,576.0
16:49:40,Fase1_Baseline_ArLimpo,25.3,48.0,688.0,688.0,645.0
16:49:42,Fase1_Baseline_ArLimpo,25.3,48.0,597.0,647.0,651.0
16:49:44,Fase1_Baseline_ArLimpo,25.3,48.0,594.0,622.0,618.0
16:49:46,Fase1_Baseline_ArLimpo,25.3,48.0,653.0,685.0,679.0
16:49:48,Fase1_Baseline_ArLimpo,25.3,48.0,688.0,674.0,659.0
16:49:50,Fase1_Baseline_ArLimpo,25.3,48.0,688.0,656.0,679.0
16:49:52,Fase1_Baseline_ArLimpo,25.3,48.0,667.0,642.0,663.0
16:49:54,Fase1_Baseline_ArLimpo,25.3,48.0,659.0,662.0,647.0
16:49:56,Fase1_Baseline_ArLimpo,25.3,48.0,624.0,670.0,677.0
16:49:58,Fase1_Baseline_ArLimpo,25.3,48.0,661.0,670.0,638.0
16:50:00,Fase1_Baseline_ArLimpo,25.3,48.0,592.0,609.0,609.0
16:50:02,Fase1_Baseline_ArLimpo,25.3,48.0,613.0,647.0,631.0
16:50:04,Fase1_Baseline_ArLimpo,25.3,48.0,663.0,658.0,651.0
16:50:06,Fase1_Baseline_ArLimpo,25.3,48.0,688.0,709.0,656.0
16:50:08,Fase1_Baseline_ArLimpo,25.3,48.0,711.0,724.0,702.0
16:50:10,Fase1_Baseline_ArLimpo,25.3,48.0,656.0,688.0,667.0
16:50:12,Fase1_Baseline_ArLimpo,25.3,48.0,669.0,709.0,684.0
16:50:14,Fase1_Baseline_ArLimpo,25.4,48.0,637.0,642.0,684.0
16:50:16,Fase1_Baseline_ArLimpo,25.4,48.0,747.0,710.0,680.0
16:50:18,Fase1_Baseline_ArLimpo,25.5,48.0,720.0,722.0,705.0
16:50:21,Fase1_Baseline_ArLimpo,25.6,48.0,640.0,705.0,675.0
16:50:23,Fase1_Baseline_ArLimpo,25.7,48.0,640.0,656.0,653.0
16:50:25,Fase1_Baseline_ArLimpo,25.6,48.0,549.0,560.0,586.0
16:50:27,Fase1_Baseline_ArLimpo,25.7,48.0,607.0,637.0,579.0
16:50:29,Fase1_Baseline_ArLimpo,25.7,48.0,633.0,626.0,592.0
16:50:31,Fase1_Baseline_ArLimpo,25.8,48.0,561.0,627.0,612.0
16:50:33,Fase1_Baseline_ArLimpo,25.8,48.0,633.0,610.0,617.0
16:50:35,Fase1_Baseline_ArLimpo,25.8,48.0,560.0,626.0,621.0
16:50:37,Fase1_Baseline_ArLimpo,25.8,48.0,589.0,619.0,604.0
16:50:39,Fase1_Baseline_ArLimpo,25.8,48.0,529.0,593.0,597.0
16:50:41,Fase1_Baseline_ArLimpo,25.8,48.0,554.0,607.0,581.0
16:50:43,Fase1_Baseline_ArLimpo,25.8,48.0,581.0,576.0,577.0
16:50:45,Fase1_Baseline_ArLimpo,25.8,48.0,577.0,592.0,587.0
16:50:47,Fase1_Baseline_ArLimpo,25.8,48.0,583.0,623.0,619.0
16:50:49,Fase1_Baseline_ArLimpo,25.8,48.0,675.0,622.0,654.0
16:50:51,Fase1_Baseline_ArLimpo,25.8,48.0,642.0,639.0,613.0
16:50:53,Fase1_Baseline_ArLimpo,25.8,48.0,682.0,693.0,694.0
16:50:55,Fase1_Baseline_ArLimpo,25.8,48.0,815.0,784.0,784.0
16:50:57,Fase1_Baseline_ArLimpo,25.8,48.0,709.0,765.0,768.0
16:50:59,Fase1_Baseline_ArLimpo,25.8,48.0,527.0,557.0,511.0
16:51:01,Fase1_Baseline_ArLimpo,25.8,48.0,497.0,537.0,538.0
16:51:03,Fase1_Baseline_ArLimpo,25.8,48.0,496.0,496.0,463.0
16:51:05,Fase1_Baseline_ArLimpo,25.8,48.0,468.0,526.0,504.0
16:51:07,Fase1_Baseline_ArLimpo,25.8,48.0,498.0,510.0,505.0
16:51:09,Fase1_Baseline_ArLimpo,25.8,48.0,375.0,440.0,432.0
16:51:11,Fase1_Baseline_ArLimpo,25.8,48.0,688.0,701.0,689.0
16:51:13,Fase1_Baseline_ArLimpo,25.8,48.0,429.0,492.0,462.0
16:51:15,Fase1_Baseline_ArLimpo,25.8,48.0,499.0,605.0,577.0
16:51:17,Fase1_Baseline_ArLimpo,25.8,48.0,304.0,311.0,309.0
16:51:19,Fase1_Baseline_ArLimpo,25.5,48.0,287.0,299.0,273.0
16:51:21,Fase1_Baseline_ArLimpo,25.4,48.0,357.0,304.0,298.0
16:51:23,Fase1_Baseline_ArLimpo,25.4,48.0,269.0,315.0,310.0
16:51:25,Fase1_Baseline_ArLimpo,25.4,48.0,325.0,323.0,296.0
16:51:27,Fase1_Baseline_ArLimpo,25.4,48.0,255.0,303.0,306.0
16:51:29,Fase1_Baseline_ArLimpo,25.4,48.0,305.0,308.0,294.0
16:51:31,Fase1_Baseline_ArLimpo,25.4,48.0,256.0,290.0,309.0
16:51:33,Fase1_Baseline_ArLimpo,25.5,48.0,280.0,327.0,320.0
16:51:35,Fase1_Baseline_ArLimpo,25.5,48.0,368.0,305.0,320.0
16:51:37,Fase1_Baseline_ArLimpo,25.6,48.0,307.0,336.0,320.0
16:51:39,Fase1_Baseline_ArLimpo,25.7,48.0,335.0,362.0,326.0
16:51:42,Fase1_Baseline_ArLimpo,25.7,48.0,274.0,336.0,333.0
16:51:44,Fase1_Baseline_ArLimpo,25.7,48.0,311.0,311.0,315.0
16:51:46,Fase1_Baseline_ArLimpo,25.8,48.0,336.0,305.0,311.0
16:51:48,Fase1_Baseline_ArLimpo,25.8,48.0,337.0,330.0,323.0
16:51:50,Fase1_Baseline_ArLimpo,25.8,48.0,336.0,354.0,336.0
16:51:52,Fase1_Baseline_ArLimpo,25.8,48.0,319.0,373.0,372.0
16:51:54,Fase1_Baseline_ArLimpo,25.8,48.0,351.0,344.0,306.0
16:51:56,Fase1_Baseline_ArLimpo,25.8,48.0,342.0,368.0,380.0
16:51:58,Fase1_Baseline_ArLimpo,25.8,48.0,384.0,363.0,362.0
16:52:00,Fase1_Baseline_ArLimpo,25.8,48.0,346.0,347.0,355.0
16:52:02,Fase1_Baseline_ArLimpo,25.8,48.0,348.0,368.0,364.0
16:52:04,Fase1_Baseline_ArLimpo,25.8,48.0,303.0,296.0,289.0
16:52:06,Fase1_Baseline_ArLimpo,25.8,48.0,299.0,287.0,276.0
16:52:08,Fase1_Baseline_ArLimpo,25.8,48.0,269.0,319.0,307.0
16:52:10,Fase1_Baseline_ArLimpo,25.8,48.0,389.0,397.0,368.0
16:52:12,Fase1_Baseline_ArLimpo,25.8,48.0,321.0,361.0,338.0
16:52:14,Fase1_Baseline_ArLimpo,25.8,48.0,351.0,402.0,368.0
16:52:16,Fase1_Baseline_ArLimpo,25.8,48.0,378.0,391.0,391.0
16:52:18,Fase1_Baseline_ArLimpo,25.8,48.0,326.0,351.0,336.0
16:52:20,Fase1_Baseline_ArLimpo,25.8,48.0,334.0,339.0,363.0
16:52:22,Fase1_Baseline_ArLimpo,25.8,48.0,342.0,368.0,376.0
16:52:24,Fase1_Baseline_ArLimpo,25.8,48.0,309.0,336.0,285.0
16:52:26,Fase1_Baseline_ArLimpo,25.8,48.0,297.0,317.0,299.0
16:52:28,Fase1_Baseline_ArLimpo,25.8,48.0,272.0,350.0,320.0
16:52:30,Fase1_Baseline_ArLimpo,25.8,48.0,375.0,366.0,361.0
16:52:32,Fase1_Baseline_ArLimpo,25.8,48.0,266.0,336.0,299.0
16:52:34,Fase1_Baseline_ArLimpo,25.8,48.0,304.0,323.0,310.0
16:52:36,Fase1_Baseline_ArLimpo,25.8,48.0,348.0,353.0,318.0
16:52:38,Fase1_Baseline_ArLimpo,25.8,48.0,267.0,346.0,336.0
16:52:40,Fase1_Baseline_ArLimpo,25.8,48.0,338.0,341.0,317.0
16:52:42,Fase1_Baseline_ArLimpo,25.8,48.0,407.0,389.0,371.0
16:52:44,Fase1_Baseline_ArLimpo,25.8,48.0,415.0,379.0,382.0
16:52:46,Fase1_Baseline_ArLimpo,25.8,48.0,336.0,336.0,339.0
16:52:48,Fase1_Baseline_ArLimpo,25.8,48.0,304.0,384.0,368.0
16:52:50,Fase1_Baseline_ArLimpo,25.8,48.0,346.0,377.0,405.0
16:52:52,Fase1_Baseline_ArLimpo,25.8,48.0,341.0,381.0,385.0
16:52:54,Fase1_Baseline_ArLimpo,25.8,48.0,327.0,391.0,377.0
16:52:56,Fase1_Baseline_ArLimpo,25.8,48.0,366.0,391.0,375.0
16:52:58,Fase1_Baseline_ArLimpo,25.8,48.0,338.0,359.0,356.0
16:53:00,Fase1_Baseline_ArLimpo,25.8,48.0,260.0,280.0,273.0
16:53:03,Fase1_Baseline_ArLimpo,25.8,48.0,263.0,282.0,259.0
16:53:05,Fase1_Baseline_ArLimpo,25.8,48.0,278.0,277.0,266.0
16:53:07,Fase1_Baseline_ArLimpo,25.8,48.0,258.0,272.0,262.0
16:53:09,Fase1_Baseline_ArLimpo,25.8,48.0,284.0,277.0,265.0
16:53:11,Fase1_Baseline_ArLimpo,25.8,48.0,253.0,272.0,272.0
16:53:13,Fase1_Baseline_ArLimpo,25.8,48.0,241.0,281.0,259.0
16:53:15,Fase1_Baseline_ArLimpo,25.8,48.0,249.0,283.0,261.0
16:53:17,Fase1_Baseline_ArLimpo,25.8,48.0,270.0,277.0,266.0
16:53:19,Fase1_Baseline_ArLimpo,25.8,48.0,240.0,283.0,265.0
16:53:21,Fase1_Baseline_ArLimpo,25.8,48.0,300.0,273.0,258.0
16:53:23,Fase1_Baseline_ArLimpo,25.8,48.0,240.0,267.0,247.0
16:53:25,Fase1_Baseline_ArLimpo,25.8,48.0,306.0,272.0,272.0
16:53:27,Fase1_Baseline_ArLimpo,25.8,48.0,260.0,322.0,265.0
16:53:29,Fase1_Baseline_ArLimpo,25.7,48.0,288.0,304.0,286.0
16:53:31,Fase1_Baseline_ArLimpo,25.7,48.0,257.0,322.0,285.0
16:53:33,Fase1_Baseline_ArLimpo,25.6,48.0,243.0,289.0,278.0
16:53:35,Fase1_Baseline_ArLimpo,25.5,48.0,240.0,301.0,266.0
16:53:37,Fase1_Baseline_ArLimpo,25.5,48.0,215.0,256.0,256.0
16:53:39,Fase1_Baseline_ArLimpo,25.5,48.0,272.0,256.0,246.0
16:53:41,Fase1_Baseline_ArLimpo,25.5,48.0,234.0,270.0,265.0
16:53:43,Fase1_Baseline_ArLimpo,25.4,48.0,261.0,265.0,258.0
16:53:45,Fase1_Baseline_ArLimpo,25.4,48.0,255.0,277.0,269.0
16:53:47,Fase1_Baseline_ArLimpo,25.4,48.0,286.0,286.0,272.0
16:53:49,Fase1_Baseline_ArLimpo,25.4,48.0,246.0,297.0,272.0
16:53:51,Fase1_Baseline_ArLimpo,25.3,48.0,293.0,317.0,283.0
16:53:53,Fase1_Baseline_ArLimpo,25.3,48.0,259.0,288.0,283.0
16:53:55,Fase1_Baseline_ArLimpo,25.3,48.0,282.0,303.0,288.0
16:53:57,Fase1_Baseline_ArLimpo,25.3,48.0,317.0,292.0,285.0
16:53:59,Fase1_Baseline_ArLimpo,25.3,48.0,274.0,279.0,289.0
16:54:01,Fase1_Baseline_ArLimpo,25.3,48.0,299.0,289.0,290.0
16:54:03,Fase1_Baseline_ArLimpo,25.3,48.0,308.0,320.0,292.0
16:54:05,Fase1_Baseline_ArLimpo,25.3,48.0,297.0,309.0,294.0
16:54:07,Fase1_Baseline_ArLimpo,25.3,48.0,302.0,316.0,304.0
16:54:09,Fase1_Baseline_ArLimpo,25.3,48.0,331.0,320.0,304.0
16:54:11,Fase1_Baseline_ArLimpo,25.3,48.0,330.0,311.0,314.0
16:54:13,Fase1_Baseline_ArLimpo,25.3,48.0,329.0,330.0,307.0
16:54:15,Fase1_Baseline_ArLimpo,25.3,48.0,284.0,306.0,314.0
16:54:17,Fase1_Baseline_ArLimpo,25.3,48.0,336.0,331.0,320.0
16:54:19,Fase1_Baseline_ArLimpo,25.3,48.0,291.0,367.0,307.0
16:54:21,Fase1_Baseline_ArLimpo,25.3,48.0,315.0,339.0,306.0
16:54:24,Fase1_Baseline_ArLimpo,25.3,48.0,298.0,338.0,329.0
16:54:26,Fase1_Baseline_ArLimpo,25.3,48.0,326.0,332.0,325.0
16:54:28,Fase1_Baseline_ArLimpo,25.3,48.0,320.0,326.0,322.0
16:54:30,Fase1_Baseline_ArLimpo,25.3,48.0,301.0,337.0,313.0
16:54:32,Fase1_Baseline_ArLimpo,25.3,48.0,323.0,322.0,319.0
16:54:34,Fase1_Baseline_ArLimpo,25.3,48.0,289.0,351.0,323.0
16:54:36,Fase1_Baseline_ArLimpo,25.3,48.0,325.0,334.0,335.0
16:54:38,Fase1_Baseline_ArLimpo,25.3,48.0,279.0,346.0,325.0
16:54:40,Fase1_Baseline_ArLimpo,25.3,48.0,327.0,334.0,304.0
16:54:42,Fase1_Baseline_ArLimpo,25.3,48.0,315.0,336.0,333.0
16:54:44,Fase1_Baseline_ArLimpo,25.3,48.0,351.0,327.0,295.0
16:54:46,Fase1_Baseline_ArLimpo,25.3,48.0,346.0,352.0,326.0
16:54:48,Fase1_Baseline_ArLimpo,25.3,48.0,337.0,333.0,315.0
16:54:50,Fase1_Baseline_ArLimpo,25.3,48.0,315.0,380.0,356.0
16:54:52,Fase1_Baseline_ArLimpo,25.3,48.0,359.0,350.0,322.0
16:54:54,Fase1_Baseline_ArLimpo,25.3,48.0,283.0,326.0,299.0
16:54:56,Fase1_Baseline_ArLimpo,25.3,48.0,334.0,313.0,311.0
16:54:58,Fase1_Baseline_ArLimpo,25.3,48.0,298.0,321.0,301.0
16:55:00,Fase1_Baseline_ArLimpo,25.3,48.0,302.0,307.0,297.0
16:55:02,Fase1_Baseline_ArLimpo,25.3,48.0,256.0,287.0,282.0
16:55:04,Fase1_Baseline_ArLimpo,25.3,48.0,299.0,304.0,299.0
16:55:06,Fase1_Baseline_ArLimpo,25.3,48.0,321.0,291.0,286.0
16:55:08,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,277.0,283.0
16:55:10,Fase1_Baseline_ArLimpo,25.3,48.0,291.0,304.0,276.0
16:55:12,Fase1_Baseline_ArLimpo,25.3,48.0,282.0,288.0,276.0
16:55:14,Fase1_Baseline_ArLimpo,25.3,48.0,283.0,273.0,270.0
16:55:16,Fase1_Baseline_ArLimpo,25.3,48.0,240.0,294.0,272.0
16:55:18,Fase1_Baseline_ArLimpo,25.3,48.0,239.0,288.0,270.0
16:55:20,Fase1_Baseline_ArLimpo,25.3,48.0,240.0,288.0,278.0
16:55:22,Fase1_Baseline_ArLimpo,25.3,48.0,297.0,293.0,283.0
16:55:24,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,301.0,300.0
16:55:26,Fase1_Baseline_ArLimpo,25.3,48.0,312.0,346.0,309.0
16:55:28,Fase1_Baseline_ArLimpo,25.3,48.0,346.0,335.0,304.0
16:55:30,Fase1_Baseline_ArLimpo,25.3,48.0,273.0,336.0,320.0
16:55:32,Fase1_Baseline_ArLimpo,25.3,48.0,337.0,323.0,306.0
16:55:34,Fase1_Baseline_ArLimpo,25.3,48.0,297.0,319.0,314.0
16:55:36,Fase1_Baseline_ArLimpo,25.3,48.0,306.0,309.0,291.0
16:55:38,Fase1_Baseline_ArLimpo,25.3,48.0,254.0,330.0,317.0
16:55:40,Fase1_Baseline_ArLimpo,25.3,48.0,317.0,316.0,306.0
16:55:42,Fase1_Baseline_ArLimpo,25.3,48.0,278.0,332.0,315.0
16:55:45,Fase1_Baseline_ArLimpo,25.3,48.0,331.0,304.0,294.0
16:55:47,Fase1_Baseline_ArLimpo,25.3,48.0,301.0,307.0,304.0
16:55:49,Fase1_Baseline_ArLimpo,25.3,48.0,317.0,330.0,312.0
16:55:51,Fase1_Baseline_ArLimpo,25.3,48.0,271.0,337.0,320.0
16:55:53,Fase1_Baseline_ArLimpo,25.3,48.0,311.0,368.0,342.0
16:55:55,Fase1_Baseline_ArLimpo,25.3,48.0,251.0,304.0,317.0
16:55:57,Fase1_Baseline_ArLimpo,25.3,48.0,320.0,304.0,297.0
16:55:59,Fase1_Baseline_ArLimpo,25.3,48.0,259.0,305.0,308.0
16:56:01,Fase1_Baseline_ArLimpo,25.3,48.0,303.0,325.0,304.0
16:56:03,Fase1_Baseline_ArLimpo,25.3,48.0,299.0,317.0,302.0
16:56:05,Fase1_Baseline_ArLimpo,25.3,48.0,333.0,324.0,281.0
16:56:07,Fase1_Baseline_ArLimpo,25.3,48.0,341.0,310.0,289.0
16:56:09,Fase1_Baseline_ArLimpo,25.3,48.0,254.0,306.0,290.0
16:56:11,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,318.0,285.0
16:56:13,Fase1_Baseline_ArLimpo,25.3,48.0,278.0,294.0,302.0
16:56:15,Fase1_Baseline_ArLimpo,25.3,48.0,315.0,320.0,245.0
16:56:17,Fase1_Baseline_ArLimpo,25.3,48.0,293.0,303.0,287.0
16:56:19,Fase1_Baseline_ArLimpo,25.3,48.0,323.0,322.0,289.0
16:56:21,Fase1_Baseline_ArLimpo,25.3,48.0,286.0,304.0,274.0
16:56:23,Fase1_Baseline_ArLimpo,25.3,48.0,329.0,304.0,302.0
16:56:25,Fase1_Baseline_ArLimpo,25.3,48.0,276.0,320.0,301.0
16:56:27,Fase1_Baseline_ArLimpo,25.3,48.0,256.0,315.0,287.0
16:56:29,Fase1_Baseline_ArLimpo,25.3,48.0,313.0,295.0,285.0
16:56:31,Fase1_Baseline_ArLimpo,25.3,48.0,284.0,305.0,303.0
16:56:33,Fase1_Baseline_ArLimpo,25.3,48.0,323.0,282.0,283.0
16:56:35,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,302.0,304.0
16:56:37,Fase1_Baseline_ArLimpo,25.3,48.0,293.0,321.0,284.0
16:56:39,Fase1_Baseline_ArLimpo,25.3,48.0,278.0,314.0,304.0
16:56:41,Fase1_Baseline_ArLimpo,25.3,48.0,311.0,294.0,299.0
16:56:43,Fase1_Baseline_ArLimpo,25.3,48.0,267.0,320.0,304.0
16:56:45,Fase1_Baseline_ArLimpo,25.3,48.0,247.0,293.0,304.0
16:56:47,Fase1_Baseline_ArLimpo,25.3,48.0,272.0,298.0,288.0
16:56:49,Fase1_Baseline_ArLimpo,25.3,48.0,295.0,316.0,306.0
16:56:51,Fase1_Baseline_ArLimpo,25.3,48.0,256.0,311.0,311.0
16:56:53,Fase1_Baseline_ArLimpo,25.3,48.0,290.0,297.0,291.0
16:56:55,Fase1_Baseline_ArLimpo,25.3,48.0,255.0,305.0,303.0
16:56:57,Fase1_Baseline_ArLimpo,25.3,48.0,322.0,304.0,304.0
16:56:59,Fase1_Baseline_ArLimpo,25.3,48.0,333.0,330.0,326.0
16:57:01,Fase1_Baseline_ArLimpo,25.3,48.0,315.0,351.0,323.0
16:57:03,Fase1_Baseline_ArLimpo,25.3,48.0,337.0,317.0,304.0
16:57:06,Fase1_Baseline_ArLimpo,25.3,48.0,318.0,349.0,325.0
16:57:08,Fase1_Baseline_ArLimpo,25.3,48.0,332.0,341.0,342.0
16:57:10,Fase1_Baseline_ArLimpo,25.3,48.0,303.0,358.0,336.0
16:57:12,Fase1_Baseline_ArLimpo,25.3,48.0,335.0,347.0,325.0
16:57:14,Fase1_Baseline_ArLimpo,25.3,48.0,305.0,331.0,318.0
16:57:16,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,310.0,329.0
16:57:18,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,299.0,303.0
16:57:20,Fase1_Baseline_ArLimpo,25.3,48.0,329.0,320.0,320.0
16:57:22,Fase1_Baseline_ArLimpo,25.3,48.0,294.0,343.0,315.0
16:57:24,Fase1_Baseline_ArLimpo,25.3,48.0,286.0,317.0,298.0
16:57:26,Fase1_Baseline_ArLimpo,25.3,48.0,284.0,316.0,320.0
16:57:28,Fase1_Baseline_ArLimpo,25.3,48.0,287.0,288.0,285.0
16:57:30,Fase1_Baseline_ArLimpo,25.3,48.0,273.0,297.0,276.0
16:57:32,Fase1_Baseline_ArLimpo,25.3,48.0,281.0,290.0,293.0
16:57:34,Fase1_Baseline_ArLimpo,25.3,48.0,240.0,292.0,298.0
16:57:36,Fase1_Baseline_ArLimpo,25.3,48.0,304.0,302.0,295.0
16:57:38,Fase1_Baseline_ArLimpo,25.3,48.0,273.0,304.0,282.0
16:57:40,Fase1_Baseline_ArLimpo,25.3,48.0,307.0,316.0,282.0
16:57:42,Fase1_Baseline_ArLimpo,25.3,48.0,275.0,294.0,278.0
16:57:44,Fase1_Baseline_ArLimpo,25.3,48.0,275.0,306.0,292.0
17:06:48,Fase2_Exposicao_Etanol,4.8,48.0,296.0,302.0,290.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,272.0,277.0,275.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,282.0,298.0,273.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,274.0,304.0,291.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,275.0,304.0,269.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,291.0,289.0,294.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,258.0,306.0,275.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,294.0,298.0,272.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,311.0,288.0,293.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,315.0,315.0,275.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,286.0,293.0,296.0
17:06:48,Fase2_Exposicao_Etanol,24.8,48.0,304.0,309.0,297.0
17:06:48,Fase2_Exposicao_Etanol,24.6,48.0,288.0,320.0,293.0
17:06:48,Fase2_Exposicao_Etanol,24.5,48.0,284.0,,304.0
17:06:48,Fase2_Exposicao_Etanol,24.5,48.0,304.0,327.0,302.0
17:06:48,Fase2_Exposicao_Etanol,24.5,48.0,261.0,315.0,302.0
17:06:48,Fase2_Exposicao_Etanol,24.5,48.0,309.0,322.0,294.0
17:06:48,Fase2_Exposicao_Etanol,24.5,48.0,279.0,307.0,309.0
17:06:48,Fase2_Exposicao_Etanol,24.5,48.0,304.0,313.0,2.0
17:06:49,Fase2_Exposicao_Etanol,925.3,48.0,222.0,236.0,222.0
17:06:51,Fase2_Exposicao_Etanol,25.3,48.0,230.0,264.0,224.0
17:06:53,Fase2_Exposicao_Etanol,25.3,48.0,246.0,261.0,241.0
17:06:55,Fase2_Exposicao_Etanol,25.3,48.0,320.0,325.0,301.0
17:06:57,Fase2_Exposicao_Etanol,25.3,48.0,336.0,346.0,330.0
17:06:59,Fase2_Exposicao_Etanol,25.3,48.0,372.0,370.0,371.0
